PartitionKey,RowKey,Timestamp,ChainId,ChainName,Kardex,StoreId,StoreName,Address,City,Zipcode,Active,Phone,CvrNumber,ValidFrom,MondayFrom,MondayTo,TuesdayFrom,TuesdayTo,WednesdayFrom,WednesdayTo,ThursdayFrom,ThursdayTo,FridayFrom,FridayTo,SaturdayFrom,SaturdayTo,SundayFrom,SundayTo
113,20180414,2018-04-13T16:23:36.801Z,3,SuperBrugsen,8039,113,SuperBrugsen Blistrup,Peter Hildes Vej 2,GRÆSTED,3230,true,48715007,59472410,2018-04-14T00:00:00.000Z,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,08:00,20:00
115,20000101,2017-08-11T12:23:56.123Z,2,Kvickly,8715,115,Kvickly Farum,Farum Bytorv 2,FARUM,3520,true,44357800,26259495,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
115,20180820,2018-08-20T06:23:41.425Z,2,Kvickly,8715,115,Kvickly Farum,Farum Bytorv 2,FARUM,3520,true,44357800,26259495,2018-08-20T00:00:00.000Z,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
116,20000101,2017-08-11T12:23:44.426Z,3,SuperBrugsen,1149,116,SuperBrugsen Hvalsø,Skolevej 1,HVALSØ,4330,true,46461515,42384119,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
117,20000101,2017-08-11T12:23:56.727Z,2,Kvickly,1610,117,Kvickly Strandlodsvej,Strandlodsvej 43,KØBENHAVN S,2300,true,32860479,26259495,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,Lukket,Lukket
117,20170815,2017-08-15T07:23:37.010Z,2,Kvickly,1610,117,Kvickly Strandlodsvej,Strandlodsvej 43,KØBENHAVN S,2300,true,32860479,26259495,2017-08-15T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
117,20180817,2018-08-17T08:23:36.987Z,2,Kvickly,1610,117,Kvickly Strandlodsvej,Strandlodsvej 43,KØBENHAVN S,2300,true,32860479,26259495,2018-08-17T00:00:00.000Z,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
118,20000101,2017-08-11T12:24:02.308Z,2,Kvickly,1110,118,Kvickly Sundby,Englandsvej 28,KØBENHAVN S,2300,true,32860111,26259495,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
118,20180817,2018-08-17T10:23:38.608Z,2,Kvickly,1110,118,Kvickly Sundby,Englandsvej 28,KØBENHAVN S,2300,true,32860111,26259495,2018-08-17T00:00:00.000Z,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
119,20000101,2017-08-11T12:23:45.589Z,4,Dagli'Brugsen,3258,119,Dagli'Brugsen Gørding,Nørregade 82-90,GØRDING,6690,true,75178311,26259495,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
